emp_no,first_name,last_name,birth_date,from_date,to_date,dept_no,title
10002,Bezalel,Simmel,1964-06-02,1996-08-03,9999-01-01,d007,Staff
10077,Mona,Azuma,1964-04-18,1994-12-23,9999-01-01,d003,Staff
10092,Valdiodio,Niizuma,1964-10-18,1996-04-22,9999-01-01,d005,Engineer
10093,Sailaja,Desikan,1964-06-11,1997-06-08,9999-01-01,d007,Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,d007,Staff
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,d005,Technique Leader
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,d002,Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,d006,Senior Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,d008,Staff
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,d004,Senior Engineer
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,d005,Senior Engineer
10213,Jackson,Kakkad,1964-05-24,1994-10-06,9999-01-01,d009,Staff
10226,Xinglin,Plessier,1964-12-28,1996-01-29,9999-01-01,d007,Staff
10238,Mototsugu,Gire,1964-11-02,1996-05-25,9999-01-01,d008,Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,d004,Senior Engineer
10247,Heon,Riefers,1964-06-30,1992-08-14,9999-01-01,d004,Senior Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,d007,Staff
10279,Barton,Jumpertz,1964-08-20,1999-07-11,9999-01-01,d009,Engineer
10280,Stabislas,Delgrange,1964-10-29,1995-01-27,9999-01-01,d003,Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,d007,Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,d007,Staff
10309,Prodip,Schusler,1964-11-06,1997-05-02,9999-01-01,d005,Assistant Engineer
10357,Hausi,Sidhu,1964-01-10,1994-04-04,9999-01-01,d006,Senior Engineer
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,d007,Senior Staff
10408,Martijn,Kaiser,1964-03-17,1998-10-07,9999-01-01,d007,Staff
10417,Bingning,Bakhtari,1964-02-02,1999-06-27,9999-01-01,d007,Staff
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,d008,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,d008,Staff
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,d001,Staff
10498,Valter,Cappelletti,1964-09-15,1994-03-09,9999-01-01,d004,Engineer
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,d003,Staff
10520,Jenwei,Ecklund,1964-03-06,1996-09-05,9999-01-01,d004,Senior Engineer
10527,Tetsushi,Barvinok,1964-09-15,1996-01-25,9999-01-01,d005,Technique Leader
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,d007,Staff
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,d005,Senior Engineer
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,d004,Senior Engineer
10573,Tetsushi,Speel,1964-02-23,1999-08-20,9999-01-01,d007,Staff
10592,Almudena,Alvarado,1964-08-01,1993-09-27,9999-01-01,d007,Staff
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,d004,Senior Engineer
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,d005,Senior Engineer
10607,Rosalyn,Hambrick,1964-11-30,1996-01-13,9999-01-01,d005,Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,d005,Senior Engineer
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,d004,Technique Leader
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,d002,Staff
10681,Florina,Garnier,1964-12-25,2002-01-08,9999-01-01,d001,Staff
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,d002,Senior Staff
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,d006,Senior Engineer
10721,Bernd,Redmiles,1964-07-12,1999-07-15,9999-01-01,d009,Staff
10723,Eckart,Harnett,1964-01-14,1997-07-14,9999-01-01,d004,Technique Leader
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,d009,Staff
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,d003,Staff
10752,Byong,Conde,1964-07-18,1993-05-28,9999-01-01,d006,Senior Engineer
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,d008,Staff
10766,Nathalie,Standera,1964-06-10,1999-09-18,9999-01-01,d003,Staff
10786,Patricia,dAstous,1964-05-19,2001-12-10,9999-01-01,d006,Senior Engineer
10789,Aruna,Journel,1964-05-19,1998-01-26,9999-01-01,d009,Staff
10804,Terresa,Benantar,1964-02-20,1997-06-09,9999-01-01,d007,Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,d007,Senior Staff
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,d007,Staff
10839,Gurbir,Katiyar,1964-04-02,1996-12-30,9999-01-01,d004,Assistant Engineer
10853,Yoshinari,Kalloufi,1964-03-22,1993-05-03,9999-01-01,d006,Technique Leader
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,d001,Senior Staff
10886,Sushant,Begiun,1964-09-30,1995-03-26,9999-01-01,d005,Senior Engineer
10896,Adil,Taubenfeld,1964-04-12,1997-11-27,9999-01-01,d004,Engineer
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,d004,Senior Engineer
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,d004,Senior Engineer
10939,Matk,Akazan,1964-07-13,1997-12-11,9999-01-01,d006,Assistant Engineer
10954,Ranga,Burnard,1964-11-16,1995-12-14,9999-01-01,d009,Staff
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,d008,Staff
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,d009,Staff
11023,Yifei,Driscoll,1964-01-08,1990-06-12,9999-01-01,d007,Staff
11041,Stamatina,Matheson,1964-01-12,1998-01-29,9999-01-01,d006,Senior Engineer
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,d007,Staff
11122,Aleksandar,Randi,1964-08-12,1995-10-15,9999-01-01,d002,Staff
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,d005,Senior Engineer
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,d005,Senior Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,d007,Staff
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,d003,Senior Staff
11200,Renny,Junet,1964-06-05,1995-04-08,9999-01-01,d005,Technique Leader
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,d003,Staff
11209,Xuejun,Penn,1964-06-25,2000-02-08,9999-01-01,d009,Engineer
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,d004,Senior Engineer
11246,Maik,Reinhart,1964-11-16,1998-06-03,9999-01-01,d004,Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,d005,Senior Engineer
11282,Josyula,Schaad,1964-01-31,1997-06-09,9999-01-01,d007,Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,d002,Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,d007,Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,d007,Staff
11345,Youngkon,Maierhofer,1964-08-11,1998-11-25,9999-01-01,d005,Engineer
11383,Billur,Herbst,1964-02-22,1999-11-26,9999-01-01,d003,Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,d009,Staff
11440,Lubomir,Jahnichen,1964-12-07,1994-03-03,9999-01-01,d005,Engineer
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,d004,Senior Engineer
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,d007,Staff
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,d007,Staff
11511,Arlette,Mikschl,1964-06-02,1997-05-28,9999-01-01,d004,Assistant Engineer
11544,Elzbieta,Thimonier,1964-09-05,1996-10-22,9999-01-01,d002,Senior Staff
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,d007,Staff
11566,Martina,Quittner,1964-10-07,1995-01-09,9999-01-01,d004,Engineer
11598,Sariel,Ertl,1964-06-07,1994-04-02,9999-01-01,d005,Senior Engineer
11618,Gian,Juneja,1964-02-08,2001-08-13,9999-01-01,d001,Staff
11623,Becky,Jullig,1964-03-18,1990-03-05,9999-01-01,d004,Senior Engineer
11627,Zeljko,Schreiter,1964-09-24,1998-10-31,9999-01-01,d004,Engineer
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,d005,Senior Engineer
11638,JoAnne,Falco,1964-04-28,1996-01-17,9999-01-01,d006,Senior Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,d005,Senior Engineer
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,d003,Senior Staff
11704,Naftali,Baalen,1964-11-09,1999-04-04,9999-01-01,d004,Engineer
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,d005,Senior Engineer
11745,Janche,Bahi,1964-07-03,1999-12-12,9999-01-01,d008,Staff
11752,Bingning,Etalle,1964-11-11,1992-11-10,9999-01-01,d001,Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,d005,Senior Engineer
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,d002,Staff
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,d005,Senior Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,d004,Senior Engineer
11781,Tua,Pluym,1964-11-29,1997-12-04,9999-01-01,d007,Staff
11794,Atreye,Ghandeharizadeh,1964-10-25,1992-09-04,9999-01-01,d005,Senior Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,d002,Staff
11799,Duro,Silva,1964-03-25,1996-03-06,9999-01-01,d005,Assistant Engineer
11816,Masako,Besselaar,1964-04-26,1991-08-05,9999-01-01,d002,Staff
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,d004,Senior Engineer
11850,Bikash,Maginnis,1964-10-23,1991-02-10,9999-01-01,d007,Staff
11898,Jinya,Piveteau,1964-10-29,1996-12-01,9999-01-01,d004,Engineer
11912,Kristian,Giaccio,1964-08-15,1994-10-06,9999-01-01,d004,Senior Engineer
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,d005,Senior Engineer
11968,Mitchel,Dayang,1964-08-13,1995-08-08,9999-01-01,d005,Senior Engineer
11981,LiMin,Horswill,1964-04-11,1990-09-14,9999-01-01,d005,Senior Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,d005,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,d009,Senior Staff
12058,Qunsheng,Khamsi,1964-02-18,1991-08-06,9999-01-01,d005,Senior Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,d004,Senior Engineer
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,d009,Staff
12096,Weiwu,Schlenzig,1964-04-12,1994-08-17,9999-01-01,d002,Senior Staff
12107,Manibrata,Antonisse,1964-10-15,1997-01-27,9999-01-01,d005,Engineer
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,d008,Staff
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,d004,Senior Engineer
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,9999-01-01,d009,Staff
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,d004,Senior Engineer
12169,Arnd,Broomell,1964-11-30,1994-11-29,9999-01-01,d003,Staff
12176,Christoper,Holburn,1964-12-18,1994-07-05,9999-01-01,d005,Senior Engineer
12225,Yongqiao,Narahara,1964-07-10,1999-01-27,9999-01-01,d007,Staff
12245,Christ,Baba,1964-10-31,1998-11-27,9999-01-01,d004,Engineer
12246,Gill,Rehfuss,1964-01-17,1990-01-26,9999-01-01,d003,Staff
12285,Stepehn,Erman,1964-12-30,1991-02-21,9999-01-01,d004,Senior Engineer
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,d005,Senior Engineer
12310,Chandrasekaran,Pettit,1964-08-04,1990-12-21,9999-01-01,d005,Senior Engineer
12333,Gino,Peck,1964-05-01,1997-04-12,9999-01-01,d005,Engineer
12350,Somnath,Swan,1964-03-12,1996-08-25,9999-01-01,d006,Senior Engineer
